guideline,consensus,pyr,mirp,cerr,flash
Morphology: Volume (mesh),6-9,MeshVolume,morph_volume,Volume,original_shape_MeshVolume
Morphology: Volume (voxel counting),6-9,VoxelVolume,morph_vol_approx,VoxelVolume,original_shape_VoxelVolume
Morphology: Surface area (mesh),6-9,SurfaceArea,morph_area_mesh,SurfaceArea,original_shape_SurfaceArea
Morphology: Surface to volume ratio,6-9,SurfaceVolumeRatio,morph_av,SurfaceToVolumeRatio,original_shape_SurfaceVolumeRatio
Morphology: Compactness 1,6-9,,morph_comp_1,Compactness1,original_shape_Compactness1
Morphology: Compactness 2,6-9,,morph_comp_2,Compactness2,original_shape_Compactness2
Morphology: Spherical disproportion,6-9,,morph_sph_dispr,SphericalDisproportion,original_shape_SphericalDisproportion
Morphology: Sphericity,6-9,Sphericity,morph_sphericity,Sphericity,original_shape_Sphericity
Morphology: Asphericity,6-9,,morph_asphericity,,original_shape_Asphericity
Morphology: Centre of mass shift,3-5,,morph_com,,original_shape_CentreOfMassShift
Morphology: Maximum 3D diameter,6-9,Maximum3DDiameter,morph_diam,Max3DDiameter,original_shape_Maximum3DDiameter
Morphology: Major axis length,6-9,MajorAxisLength,morph_pca_maj_axis,MajorAxisLength,original_shape_MajorAxisLength
Morphology: Minor axis length,6-9,MinorAxisLength,morph_pca_min_axis,MinorAxisLength,original_shape_MinorAxisLength
Morphology: Least axis length,6-9,LeastAxisLength,morph_pca_least_axis,LeastAxisLength,original_shape_LeastAxisLength
Morphology: Elongation,6-9,Elongation,morph_pca_elongation,Elongation,original_shape_Elongation
Morphology: Flatness,6-9,Flatness,morph_pca_flatness,Flatness,original_shape_Flatness
Morphology: Volume density (AABB),6-9,,morph_vol_dens_aabb,,original_shape_VolumeDensityAABB
Morphology: Area density (AABB),6-9,,morph_area_dens_aabb,,original_shape_AreaDensityAABB
Morphology: Volume density (AEE),6-9,,morph_vol_dens_aee,,original_shape_VolumeDensityAEE
Morphology: Area density (AEE),3-5,,morph_area_dens_aee,,original_shape_AreaDensityAEE
Morphology: Volume density (convex hull),3-5,,morph_vol_dens_conv_hull,,original_shape_VolumeDensityConvexHull
Morphology: Area density (convex hull),3-5,,morph_area_dens_conv_hull,,original_shape_AreaDensityConvexHull
Morphology: Integrated intensity,6-9,,morph_integ_int,,original_shape_IntegratedIntensity
Statistics: Mean,6-9,Mean,stat_mean,Mean,original_firstorder_Mean
Statistics: Variance,6-9,Variance,stat_var,Variance,original_firstorder_Variance
Statistics: Skewness,6-9,Skewness,stat_skew,Skewness,original_firstorder_Skewness
Statistics: (Excess) kurtosis,6-9,Kurtosis,stat_kurt,,original_firstorder_Kurtosis
Statistics: Median,6-9,Median,stat_median,Median,original_firstorder_Median
Statistics: Minimum,6-9,Minimum,stat_min,Min,original_firstorder_Minimum
Statistics: 10th percentile,6-9,10Percentile,stat_p10,P10,original_firstorder_10Percentile
Statistics: 90th percentile,6-9,90Percentile,stat_p90,P90,original_firstorder_90Percentile
Statistics: Maximum,6-9,Maximum,stat_max,Max,original_firstorder_Maximum
